"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.219.118","1.214.68.2","DNS","96","Standard query 0xbe17 A api.apple-cloudkit.fe2.apple-dns.net"
"2","0.022067","1.214.68.2","192.168.219.118","DNS","160","Standard query response 0xbe17 A api.apple-cloudkit.fe2.apple-dns.net A 17.248.221.65 A 17.248.221.69 A 17.248.221.64 A 17.248.221.67"
"3","0.025654","192.168.219.118","17.248.221.69","TCP","78","54505  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3868704697 TSecr=0 SACK_PERM"
"4","0.078605","17.248.221.69","192.168.219.118","TCP","74","443  >  54505 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1460 SACK_PERM TSval=3266611221 TSecr=3868704697 WS=2048"
"5","0.079921","192.168.219.118","17.248.221.69","TCP","66","54505  >  443 [ACK] Seq=1 Ack=1 Win=131776 Len=0 TSval=3868704751 TSecr=3266611221"
"6","0.079977","192.168.219.118","17.248.221.69","TCP","1514","54505  >  443 [ACK] Seq=1 Ack=1 Win=131776 Len=1448 TSval=3868704752 TSecr=3266611221 [TCP PDU reassembled in 7]"
"7","0.079984","192.168.219.118","17.248.221.69","TLSv1.3","160","Client Hello (SNI=api.apple-cloudkit.com)"
"8","0.132769","17.248.221.69","192.168.219.118","TCP","66","443  >  54505 [ACK] Seq=1 Ack=1543 Win=67584 Len=0 TSval=3266611276 TSecr=3868704752"
"9","0.132772","17.248.221.69","192.168.219.118","TLSv1.3","1514","Server Hello, Change Cipher Spec, Application Data"
"10","0.132774","17.248.221.69","192.168.219.118","TCP","1514","443  >  54505 [PSH, ACK] Seq=1449 Ack=1543 Win=67584 Len=1448 TSval=3266611276 TSecr=3868704752 [TCP PDU reassembled in 11]"
"11","0.132777","17.248.221.69","192.168.219.118","TLSv1.3","681","Application Data, Application Data, Application Data"
"12","0.133710","192.168.219.118","17.248.221.69","TCP","66","54505  >  443 [ACK] Seq=1543 Ack=3512 Win=128320 Len=0 TSval=3868704805 TSecr=3266611276"
"13","0.141665","192.168.219.118","17.248.221.69","TLSv1.3","146","Change Cipher Spec, Application Data"
"14","0.142829","192.168.219.118","17.248.221.69","TLSv1.3","636","Application Data"
"15","0.143088","192.168.219.118","17.248.221.69","TLSv1.3","165","Application Data"
"16","0.193821","17.248.221.69","192.168.219.118","TLSv1.3","369","Application Data"
"17","0.193824","17.248.221.69","192.168.219.118","TLSv1.3","369","Application Data"
"18","0.194408","192.168.219.118","17.248.221.69","TCP","66","54505  >  443 [ACK] Seq=2292 Ack=4118 Win=130496 Len=0 TSval=3868704866 TSecr=3266611337"
"19","0.195733","17.248.221.69","192.168.219.118","TCP","66","443  >  54505 [ACK] Seq=4118 Ack=2292 Win=71680 Len=0 TSval=3266611339 TSecr=3868704815"
