"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.219.118","3.112.52.234","UDP","631","54534  >  443 Len=589"
"2","0.070596","3.112.52.234","192.168.219.118","UDP","208","443  >  54534 Len=166"
"3","0.070597","3.112.52.234","192.168.219.118","UDP","1238","443  >  54534 Len=1196"
"4","0.070598","3.112.52.234","192.168.219.118","UDP","768","443  >  54534 Len=726"
"5","0.071043","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"6","0.071293","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"7","0.148154","3.112.52.234","192.168.219.118","UDP","69","443  >  54534 Len=27"
"8","0.256863","192.168.219.118","3.112.52.234","UDP","643","54534  >  443 Len=601"
"9","0.332281","3.112.52.234","192.168.219.118","UDP","73","443  >  54534 Len=31"
"10","0.356023","3.112.52.234","192.168.219.118","UDP","74","443  >  54534 Len=32"
"11","0.356024","3.112.52.234","192.168.219.118","UDP","1238","443  >  54534 Len=1196"
"12","0.356025","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"13","0.356026","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"14","0.356027","3.112.52.234","192.168.219.118","UDP","632","443  >  54534 Len=590"
"15","0.356028","3.112.52.234","192.168.219.118","UDP","1237","443  >  54534 Len=1195"
"16","0.356029","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"17","0.356029","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"18","0.356030","3.112.52.234","192.168.219.118","UDP","634","443  >  54534 Len=592"
"19","0.356031","3.112.52.234","192.168.219.118","UDP","1237","443  >  54534 Len=1195"
"20","0.356304","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"21","0.356306","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"22","0.359874","3.112.52.234","192.168.219.118","UDP","716","443  >  54534 Len=674"
"23","0.388836","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"24","0.400086","192.168.219.118","3.112.52.234","UDP","348","54534  >  443 Len=306"
"25","0.434905","3.112.52.234","192.168.219.118","UDP","69","443  >  54534 Len=27"
"26","0.475809","3.112.52.234","192.168.219.118","UDP","73","443  >  54534 Len=31"
"27","0.496170","3.112.52.234","192.168.219.118","UDP","74","443  >  54534 Len=32"
"28","0.496171","3.112.52.234","192.168.219.118","UDP","1238","443  >  54534 Len=1196"
"29","0.496173","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"30","0.496173","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"31","0.496174","3.112.52.234","192.168.219.118","UDP","632","443  >  54534 Len=590"
"32","0.496175","3.112.52.234","192.168.219.118","UDP","1237","443  >  54534 Len=1195"
"33","0.496176","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"34","0.496177","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"35","0.496178","3.112.52.234","192.168.219.118","UDP","634","443  >  54534 Len=592"
"36","0.496179","3.112.52.234","192.168.219.118","UDP","1237","443  >  54534 Len=1195"
"37","0.496490","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"38","0.496492","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"39","0.499878","3.112.52.234","192.168.219.118","UDP","738","443  >  54534 Len=696"
"40","0.572098","3.112.52.234","192.168.219.118","UDP","69","443  >  54534 Len=27"
"41","0.606443","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"42","0.703672","192.168.219.118","3.112.52.234","UDP","349","54534  >  443 Len=307"
"43","0.780013","3.112.52.234","192.168.219.118","UDP","73","443  >  54534 Len=31"
"44","0.796732","3.112.52.234","192.168.219.118","UDP","103","443  >  54534 Len=61"
"45","0.796733","3.112.52.234","192.168.219.118","UDP","1238","443  >  54534 Len=1196"
"46","0.796734","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"47","0.796734","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"48","0.796735","3.112.52.234","192.168.219.118","UDP","632","443  >  54534 Len=590"
"49","0.796736","3.112.52.234","192.168.219.118","UDP","1237","443  >  54534 Len=1195"
"50","0.796737","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"51","0.796738","3.112.52.234","192.168.219.118","UDP","1242","443  >  54534 Len=1200"
"52","0.796739","3.112.52.234","192.168.219.118","UDP","634","443  >  54534 Len=592"
"53","0.796739","3.112.52.234","192.168.219.118","UDP","1237","443  >  54534 Len=1195"
"54","0.796991","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"55","0.796993","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"56","0.796993","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"57","0.801300","3.112.52.234","192.168.219.118","UDP","807","443  >  54534 Len=765"
"58","0.846669","3.112.52.234","192.168.219.118","UDP","68","443  >  54534 Len=26"
"59","0.911098","192.168.219.118","3.112.52.234","UDP","73","54534  >  443 Len=31"
"60","7.918213","192.168.219.118","1.214.68.2","DNS","75","Standard query 0x9eae HTTPS ocsp2.apple.com"
"61","7.918410","192.168.219.118","1.214.68.2","DNS","75","Standard query 0x5f53 A ocsp2.apple.com"
"62","7.933633","1.214.68.2","192.168.219.118","DNS","159","Standard query response 0x9eae HTTPS ocsp2.apple.com CNAME ocsp2.g.aaplimg.com SOA a.gslb.aaplimg.com"
"63","7.933634","1.214.68.2","192.168.219.118","DNS","137","Standard query response 0x5f53 A ocsp2.apple.com CNAME ocsp2.g.aaplimg.com A 17.253.69.208 A 17.253.69.198"
"64","7.934313","192.168.219.118","1.214.68.2","DNS","79","Standard query 0x0f75 HTTPS ocsp2.g.aaplimg.com"
"65","7.935944","192.168.219.118","17.253.69.208","TCP","78","54478  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2470276370 TSecr=0 SACK_PERM"
"66","7.948792","1.214.68.2","192.168.219.118","DNS","217","Standard query response 0x0f75 HTTPS ocsp2.g.aaplimg.com CNAME ocsp2.apple.com.edgekey.net CNAME e3528.dscg.akamaiedge.net SOA n0dscg.akamaiedge.net"
"67","7.978516","192.168.219.118","1.214.68.2","DNS","86","Standard query 0x44d0 A app-analytics-services.com"
"68","7.987476","17.253.69.208","192.168.219.118","TCP","74","443  >  54478 [SYN, ACK, ECE] Seq=0 Ack=1 Win=33212 Len=0 MSS=1456 SACK_PERM TSval=1165806723 TSecr=2470276370 WS=512"
"69","7.988504","192.168.219.118","17.253.69.208","TCP","66","54478  >  443 [ACK] Seq=1 Ack=1 Win=131456 Len=0 TSval=2470276422 TSecr=1165806723"
"70","7.988532","192.168.219.118","17.253.69.208","TCP","1510","54478  >  443 [ACK] Seq=1 Ack=1 Win=131456 Len=1444 TSval=2470276423 TSecr=1165806723 [TCP PDU reassembled in 71]"
"71","7.988540","192.168.219.118","17.253.69.208","TLSv1.3","160","Client Hello (SNI=ocsp2.apple.com)"
"72","7.990365","1.214.68.2","192.168.219.118","DNS","102","Standard query response 0x44d0 A app-analytics-services.com A 142.250.76.14"
"73","8.040149","17.253.69.208","192.168.219.118","TCP","66","443  >  54478 [ACK] Seq=1 Ack=1539 Win=32256 Len=0 TSval=1165806776 TSecr=2470276423"
"74","8.040994","17.253.69.208","192.168.219.118","TLSv1.3","1510","Server Hello, Change Cipher Spec"
"75","8.040995","17.253.69.208","192.168.219.118","TCP","1510","443  >  54478 [PSH, ACK] Seq=1445 Ack=1539 Win=32256 Len=1444 TSval=1165806777 TSecr=2470276423 [TCP PDU reassembled in 76]"
"76","8.040996","17.253.69.208","192.168.219.118","TLSv1.3","1271","Application Data"
"77","8.041363","192.168.219.118","17.253.69.208","TCP","66","54478  >  443 [ACK] Seq=1539 Ack=4094 Win=127424 Len=0 TSval=2470276475 TSecr=1165806777"
"78","8.041365","192.168.219.118","17.253.69.208","TCP","66","[TCP Window Update] 54478  >  443 [ACK] Seq=1539 Ack=4094 Win=131072 Len=0 TSval=2470276475 TSecr=1165806777"
"79","8.051850","192.168.219.118","17.253.69.208","TLSv1.3","146","Change Cipher Spec, Application Data"
"80","8.053422","192.168.219.118","17.253.69.208","TLSv1.3","559","Application Data"
"81","8.059776","192.168.219.118","1.214.68.2","DNS","76","Standard query 0xbf8b HTTPS katalk.kakao.com"
"82","8.059902","192.168.219.118","1.214.68.2","DNS","76","Standard query 0xf25a A katalk.kakao.com"
"83","8.073099","1.214.68.2","192.168.219.118","DNS","143","Standard query response 0xf25a A katalk.kakao.com CNAME brewery-talk-external-azp9mem5.kgns1.com A 211.183.210.21"
"84","8.073605","1.214.68.2","192.168.219.118","DNS","179","Standard query response 0xbf8b HTTPS katalk.kakao.com CNAME brewery-talk-external-azp9mem5.kgns1.com SOA gsx-gslb11.kakao.com"
"85","8.075104","192.168.219.118","211.183.210.21","TCP","78","54479  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=2724949932 TSecr=0 SACK_PERM"
"86","8.087479","211.183.210.21","192.168.219.118","TCP","74","443  >  54479 [SYN, ACK, ECE] Seq=0 Ack=1 Win=43440 Len=0 MSS=1440 SACK_PERM TSval=3124588941 TSecr=2724949932 WS=4096"
"87","8.087783","192.168.219.118","211.183.210.21","TCP","66","54479  >  443 [ACK] Seq=1 Ack=1 Win=131392 Len=0 TSval=2724949945 TSecr=3124588941"
"88","8.087793","192.168.219.118","211.183.210.21","TCP","1494","54479  >  443 [ACK] Seq=1 Ack=1 Win=131392 Len=1428 TSval=2724949945 TSecr=3124588941 [TCP PDU reassembled in 89]"
"89","8.087794","192.168.219.118","211.183.210.21","TLSv1.2","177","Client Hello (SNI=katalk.kakao.com)"
"90","8.100276","211.183.210.21","192.168.219.118","TCP","66","443  >  54479 [ACK] Seq=1 Ack=1429 Win=45056 Len=0 TSval=3124588954 TSecr=2724949945"
"91","8.100278","211.183.210.21","192.168.219.118","TCP","66","443  >  54479 [ACK] Seq=1 Ack=1540 Win=45056 Len=0 TSval=3124588954 TSecr=2724949945"
"92","8.102710","17.253.69.208","192.168.219.118","TLSv1.3","597","Application Data, Application Data"
"93","8.103113","192.168.219.118","17.253.69.208","TCP","66","54478  >  443 [ACK] Seq=2112 Ack=4625 Win=130560 Len=0 TSval=2470276537 TSecr=1165806839"
"94","8.103199","192.168.219.118","17.253.69.208","TLSv1.3","97","Application Data"
"95","8.104556","211.183.210.21","192.168.219.118","TLSv1.2","1514","Server Hello"
"96","8.104557","211.183.210.21","192.168.219.118","TCP","1514","443  >  54479 [PSH, ACK] Seq=1449 Ack=1540 Win=45056 Len=1448 TSval=3124588957 TSecr=2724949945 [TCP PDU reassembled in 97]"
"97","8.104558","211.183.210.21","192.168.219.118","TLSv1.2","1266","Certificate"
"98","8.104559","211.183.210.21","192.168.219.118","TLSv1.2","135","Server Key Exchange, Server Hello Done"
"99","8.104559","17.253.69.208","192.168.219.118","TLSv1.3","1388","Application Data"
"100","8.104560","17.253.69.208","192.168.219.118","TLSv1.3","1388","Application Data"
"101","8.104561","17.253.69.208","192.168.219.118","TLSv1.3","444","Application Data"
"102","8.104562","17.253.69.208","192.168.219.118","TLSv1.3","1201","Application Data"
"103","8.104563","17.253.69.208","192.168.219.118","TLSv1.3","603","Application Data"
"104","8.104776","192.168.219.118","211.183.210.21","TCP","66","54479  >  443 [ACK] Seq=1540 Ack=4166 Win=127232 Len=0 TSval=2724949962 TSecr=3124588957"
"105","8.104777","192.168.219.118","211.183.210.21","TCP","66","[TCP Window Update] 54479  >  443 [ACK] Seq=1540 Ack=4166 Win=131072 Len=0 TSval=2724949962 TSecr=3124588957"
"106","8.104787","192.168.219.118","17.253.69.208","TCP","66","54478  >  443 [ACK] Seq=2143 Ack=9319 Win=126400 Len=0 TSval=2470276539 TSecr=1165806840"
"107","8.104789","192.168.219.118","17.253.69.208","TCP","66","[TCP Window Update] 54478  >  443 [ACK] Seq=2143 Ack=9319 Win=131072 Len=0 TSval=2470276539 TSecr=1165806840"
"108","8.107511","192.168.219.118","1.214.68.2","DNS","95","Standard query 0x5e97 A bag-cdn.itunes-apple.com.akadns.net"
"109","8.108977","192.168.219.118","211.183.210.21","TLSv1.2","159","Client Key Exchange, Change Cipher Spec, Encrypted Handshake Message"
"110","8.119370","1.214.68.2","192.168.219.118","DNS","256","Standard query response 0x5e97 A bag-cdn.itunes-apple.com.akadns.net CNAME bag-cdn-lb2.itunes-apple.com.akadns.net CNAME bag-cdn-akam.itunes-apple.com.akadns.net CNAME bag.itunes.apple.com.edgesuite.net CNAME a68.dscg4.akamai.net A 23.52.128.133 A 23.52.128.140"
"111","8.120601","211.183.210.21","192.168.219.118","TLSv1.2","117","Change Cipher Spec, Encrypted Handshake Message"
"112","8.120911","192.168.219.118","211.183.210.21","TCP","66","54479  >  443 [ACK] Seq=1633 Ack=4217 Win=131072 Len=0 TSval=2724949978 TSecr=3124588974"
"113","8.121053","192.168.219.118","211.183.210.21","TLSv1.2","415","Application Data"
"114","8.121241","192.168.219.118","211.183.210.21","TLSv1.2","429","Application Data"
"115","8.124451","192.168.219.118","23.52.128.140","QUIC","1242","Initial, DCID=1f6a4890bb2f7b29, PKN: 0, CRYPTO, PADDING"
"116","8.124547","192.168.219.118","23.52.128.140","QUIC","1242","Initial, DCID=1f6a4890bb2f7b29, PKN: 1, CRYPTO, PADDING"
"117","8.136485","211.183.210.21","192.168.219.118","TCP","66","443  >  54479 [ACK] Seq=4217 Ack=2345 Win=45056 Len=0 TSval=3124588990 TSecr=2724949978"
"118","8.165861","23.52.128.140","192.168.219.118","QUIC","82","Initial, SCID=145c75f58480dd2f, PKN: 1, ACK"
"119","8.166762","23.52.128.140","192.168.219.118","QUIC","1242","Initial, SCID=145c75f58480dd2f, PKN: 2, ACK, PADDING"
"120","8.168376","23.52.128.140","192.168.219.118","QUIC","1242","Initial, SCID=145c75f58480dd2f, PKN: 3, CRYPTO, PADDING"
"121","8.168962","192.168.219.118","23.52.128.140","QUIC","1242","Initial, DCID=145c75f58480dd2f, PKN: 2, ACK, PADDING"
"122","8.169992","23.52.128.140","192.168.219.118","QUIC","1242","Handshake, SCID=145c75f58480dd2f"
"123","8.169993","23.52.128.140","192.168.219.118","QUIC","1242","Handshake, SCID=145c75f58480dd2f"
"124","8.169994","23.52.128.140","192.168.219.118","QUIC","1242","Handshake, SCID=145c75f58480dd2f"
"125","8.169995","23.52.128.140","192.168.219.118","QUIC","1242","Handshake, SCID=145c75f58480dd2f"
"126","8.169996","23.52.128.140","192.168.219.118","QUIC","623","Handshake, SCID=145c75f58480dd2f"
"127","8.170406","192.168.219.118","23.52.128.140","QUIC","81","Handshake, DCID=145c75f58480dd2f"
"128","8.177341","192.168.219.118","23.52.128.140","QUIC","131","Handshake, DCID=145c75f58480dd2f"
"129","8.178925","192.168.219.118","23.52.128.140","QUIC","92","Protected Payload (KP0), DCID=145c75f58480dd2f"
"130","8.179536","192.168.219.118","23.52.128.140","QUIC","432","Protected Payload (KP0), DCID=145c75f58480dd2f"
"131","8.195654","17.253.69.208","192.168.219.118","TCP","66","443  >  54478 [ACK] Seq=9319 Ack=2143 Win=32256 Len=0 TSval=1165806932 TSecr=2470276538"
"132","8.211442","211.183.210.21","192.168.219.118","TLSv1.2","817","Application Data"
"133","8.211615","192.168.219.118","211.183.210.21","TCP","66","54479  >  443 [ACK] Seq=2345 Ack=4968 Win=130368 Len=0 TSval=2724950069 TSecr=3124589065"
"134","8.218820","23.52.128.140","192.168.219.118","QUIC","345","Protected Payload (KP0)"
"135","8.218821","23.52.128.140","192.168.219.118","QUIC","346","Protected Payload (KP0)"
"136","8.218822","23.52.128.140","192.168.219.118","QUIC","104","Protected Payload (KP0)"
"137","8.218824","23.52.128.140","192.168.219.118","QUIC","63","Protected Payload (KP0)"
"138","8.218825","23.52.128.140","192.168.219.118","QUIC","112","Protected Payload (KP0)"
"139","8.219393","192.168.219.118","23.52.128.140","QUIC","73","Protected Payload (KP0), DCID=145c75f58480dd2f"
"140","8.219395","192.168.219.118","23.52.128.140","QUIC","1294","Protected Payload (KP0), DCID=145c75f58480dd2f"
"141","8.219538","192.168.219.118","23.52.128.140","QUIC","76","Protected Payload (KP0), DCID=145c75f58480dd2f"
"142","8.220036","23.52.128.140","192.168.219.118","QUIC","65","Protected Payload (KP0)"
"143","8.222124","23.52.128.140","192.168.219.118","QUIC","1049","Protected Payload (KP0)"
"144","8.222326","192.168.219.118","23.52.128.140","QUIC","73","Protected Payload (KP0), DCID=145c75f58480dd2f"
"145","8.222543","192.168.219.118","23.52.128.140","QUIC","73","Protected Payload (KP0), DCID=145c75f58480dd2f"
"146","8.223622","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"147","8.223624","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"148","8.223625","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"149","8.223626","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"150","8.223627","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"151","8.223628","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"152","8.223629","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"153","8.223630","23.52.128.140","192.168.219.118","QUIC","1242","Protected Payload (KP0)"
"154","8.223631","23.52.128.140","192.168.219.118","QUIC","728","Protected Payload (KP0)"
"155","8.223632","23.52.128.140","192.168.219.118","QUIC","64","Protected Payload (KP0)"
"156","8.223633","23.52.128.140","192.168.219.118","QUIC","1494","Protected Payload (KP0)"
"157","8.223751","192.168.219.118","23.52.128.140","QUIC","73","Protected Payload (KP0), DCID=145c75f58480dd2f"
"158","8.244176","192.168.219.118","1.214.68.2","DNS","84","Standard query 0x3847 A sandbox.itunes.apple.com"
"159","8.256539","1.214.68.2","192.168.219.118","DNS","272","Standard query response 0x3847 A sandbox.itunes.apple.com CNAME sandbox.itunes-apple.com.akadns.net CNAME sandbox-dist.itunes-apple.com.akadns.net CNAME sandbox.itunes.apple.com.edgesuite.net CNAME a708.dsct.akamai.net A 23.50.121.162 A 23.50.121.145"
"160","8.258023","192.168.219.118","23.50.121.162","TCP","78","54480  >  443 [SYN, ECE, CWR] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 TSval=3708736237 TSecr=0 SACK_PERM"
"161","8.260483","23.52.128.140","192.168.219.118","QUIC","65","Protected Payload (KP0)"
"162","8.270240","23.50.121.162","192.168.219.118","TCP","74","443  >  54480 [SYN, ACK, ECE] Seq=0 Ack=1 Win=65160 Len=0 MSS=1384 SACK_PERM TSval=1154918747 TSecr=3708736237 WS=128"
