"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","192.168.219.118","18.179.29.94","UDP","346","59334  >  443 Len=304"
"2","0.063447","18.179.29.94","192.168.219.118","UDP","123","443  >  59334 Len=81"
"3","0.063447","18.179.29.94","192.168.219.118","UDP","1238","443  >  59334 Len=1196"
"4","0.063448","18.179.29.94","192.168.219.118","UDP","938","443  >  59334 Len=896"
"5","0.076957","192.168.219.118","18.179.29.94","UDP","74","59334  >  443 Len=32"
"6","0.076959","192.168.219.118","18.179.29.94","UDP","73","59334  >  443 Len=31"
"7","0.149864","18.179.29.94","192.168.219.118","UDP","69","443  >  59334 Len=27"
"8","0.197507","192.168.219.118","18.179.29.94","UDP","348","59334  >  443 Len=306"
"9","0.268990","18.179.29.94","192.168.219.118","UDP","73","443  >  59334 Len=31"
"10","0.299145","192.168.219.118","18.179.29.94","UDP","74","59334  >  443 Len=32"
"11","0.310131","18.179.29.94","192.168.219.118","UDP","74","443  >  59334 Len=32"
"12","0.310132","18.179.29.94","192.168.219.118","UDP","1238","443  >  59334 Len=1196"
"13","0.310133","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"14","0.310134","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"15","0.310135","18.179.29.94","192.168.219.118","UDP","632","443  >  59334 Len=590"
"16","0.310136","18.179.29.94","192.168.219.118","UDP","1237","443  >  59334 Len=1195"
"17","0.310136","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"18","0.310137","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"19","0.310138","18.179.29.94","192.168.219.118","UDP","634","443  >  59334 Len=592"
"20","0.310139","18.179.29.94","192.168.219.118","UDP","1237","443  >  59334 Len=1195"
"21","0.310412","192.168.219.118","18.179.29.94","UDP","74","59334  >  443 Len=32"
"22","0.310414","192.168.219.118","18.179.29.94","UDP","73","59334  >  443 Len=31"
"23","0.312943","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"24","0.312944","18.179.29.94","192.168.219.118","UDP","629","443  >  59334 Len=587"
"25","0.313099","192.168.219.118","18.179.29.94","UDP","74","59334  >  443 Len=32"
"26","0.381670","18.179.29.94","192.168.219.118","UDP","69","443  >  59334 Len=27"
"27","0.576399","192.168.219.118","18.179.29.94","UDP","348","59334  >  443 Len=306"
"28","0.645357","18.179.29.94","192.168.219.118","UDP","73","443  >  59334 Len=31"
"29","0.674942","192.168.219.118","18.179.29.94","UDP","74","59334  >  443 Len=32"
"30","0.687867","18.179.29.94","192.168.219.118","UDP","74","443  >  59334 Len=32"
"31","0.687868","18.179.29.94","192.168.219.118","UDP","1238","443  >  59334 Len=1196"
"32","0.687869","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"33","0.687870","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"34","0.687871","18.179.29.94","192.168.219.118","UDP","632","443  >  59334 Len=590"
"35","0.687871","18.179.29.94","192.168.219.118","UDP","1237","443  >  59334 Len=1195"
"36","0.687872","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"37","0.687874","18.179.29.94","192.168.219.118","UDP","1242","443  >  59334 Len=1200"
"38","0.687874","18.179.29.94","192.168.219.118","UDP","634","443  >  59334 Len=592"
"39","0.687875","18.179.29.94","192.168.219.118","UDP","1237","443  >  59334 Len=1195"
"40","0.688127","192.168.219.118","18.179.29.94","UDP","74","59334  >  443 Len=32"
"41","0.688129","192.168.219.118","18.179.29.94","UDP","73","59334  >  443 Len=31"
