"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","1.214.68.2","192.168.219.118","DNS","100","Standard query response 0x6d36 A www.googleadservices.com A 142.250.197.226"
"2","0.000001","1.214.68.2","192.168.219.118","DNS","109","Standard query response 0xdd78 HTTPS www.googleadservices.com HTTPS"
"3","0.001236","192.168.219.118","142.250.197.226","QUIC","1292","Initial, DCID=8116e3ea6b97ad20, PKN: 1, PING, CRYPTO, CRYPTO, PING, PADDING, CRYPTO, PING, PING, PING, PING, PING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, CRYPTO, PING"
"4","0.001274","192.168.219.118","142.250.197.226","QUIC","1292","Initial, DCID=8116e3ea6b97ad20, PKN: 2, CRYPTO, PADDING, CRYPTO, PING, PADDING, PING, CRYPTO, CRYPTO, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PING, PING, CRYPTO, CRYPTO"
"5","0.003862","192.168.219.118","1.214.68.2","DNS","84","Standard query 0xc246 HTTPS www.googleadservices.com"
"6","0.003998","192.168.219.118","1.214.68.2","DNS","84","Standard query 0xfee3 A www.googleadservices.com"
"7","0.014542","1.214.68.2","192.168.219.118","DNS","109","Standard query response 0xc246 HTTPS www.googleadservices.com HTTPS"
"8","0.014543","1.214.68.2","192.168.219.118","DNS","100","Standard query response 0xfee3 A www.googleadservices.com A 142.250.198.130"
"9","0.015673","192.168.219.118","142.250.198.130","QUIC","1292","Initial, DCID=6d83e04a7cf9f698, PKN: 1, PING, PING, PADDING, CRYPTO, PING, PING, PING, CRYPTO, PING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, PADDING, CRYPTO, CRYPTO"
"10","0.015712","192.168.219.118","142.250.198.130","QUIC","1292","Initial, DCID=6d83e04a7cf9f698, PKN: 2, PADDING, CRYPTO, PING, PADDING, CRYPTO, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, PADDING, PING, PING, PING, PING, CRYPTO, CRYPTO, PADDING, PING, CRYPTO, PING, PING, CRYPTO"
"11","0.019277","192.168.219.118","1.214.68.2","DNS","84","Standard query 0xb6e4 HTTPS www.googleadservices.com"
"12","0.019442","192.168.219.118","1.214.68.2","DNS","84","Standard query 0xbc03 A www.googleadservices.com"
"13","0.032327","1.214.68.2","192.168.219.118","DNS","109","Standard query response 0xb6e4 HTTPS www.googleadservices.com HTTPS"
"14","0.034095","1.214.68.2","192.168.219.118","DNS","100","Standard query response 0xbc03 A www.googleadservices.com A 142.250.197.34"
"15","0.034986","192.168.219.118","142.250.197.34","QUIC","1292","Initial, DCID=1421135a55d28dbf, PKN: 1, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PADDING, CRYPTO, PADDING, CRYPTO, CRYPTO, CRYPTO, PING, PADDING, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, PING, CRYPTO, CRYPTO"
"16","0.035020","192.168.219.118","142.250.197.34","QUIC","1292","Initial, DCID=1421135a55d28dbf, PKN: 2, CRYPTO, CRYPTO, PADDING, PING, PING, PING, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PING, PING, PADDING"
"17","0.079594","142.250.197.226","192.168.219.118","QUIC","82","Initial, SCID=e116e3ea6b97ad20, PKN: 1, ACK"
"18","0.080413","142.250.197.226","192.168.219.118","QUIC","1292","Initial, SCID=e116e3ea6b97ad20, PKN: 2, ACK, PADDING"
"19","0.080414","142.250.197.226","192.168.219.118","QUIC","1292","Initial, SCID=e116e3ea6b97ad20, PKN: 3, CRYPTO, PADDING"
"20","0.080416","142.250.197.226","192.168.219.118","QUIC","1292","Initial, SCID=e116e3ea6b97ad20, PKN: 4, CRYPTO, PADDING"
"21","0.081047","192.168.219.118","142.250.197.226","QUIC","1292","Initial, DCID=e116e3ea6b97ad20, PKN: 3, ACK, PADDING"
"22","0.082638","142.250.198.130","192.168.219.118","QUIC","82","Initial, SCID=ed83e04a7cf9f698, PKN: 1, ACK"
"23","0.083374","142.250.198.130","192.168.219.118","QUIC","1292","Initial, SCID=ed83e04a7cf9f698, PKN: 2, ACK, PADDING"
"24","0.083376","142.250.198.130","192.168.219.118","QUIC","1292","Initial, SCID=ed83e04a7cf9f698, PKN: 3, CRYPTO, PADDING"
